dataOrigin,minPKey,maxPKey,nMS2,total
/home/chong/Downloads/CCLE/output/Protein_09/f05445_Prot_09_F05.mzML,8567136,8655209,41337,4070827
/home/chong/Downloads/CCLE/output/Protein_09/f05446_Prot_09_F06.mzML,8655229,8743019,41293,4112120
/home/chong/Downloads/CCLE/output/Protein_09/f05447_Prot_09_F07.mzML,8743029,8832605,42189,4154309
/home/chong/Downloads/CCLE/output/Protein_09/f05448_Prot_09_F08.mzML,8832619,8920029,41069,4195378
/home/chong/Downloads/CCLE/output/Protein_09/f05449_Prot_09_F09.mzML,8920043,9008382,41505,4236883
/home/chong/Downloads/CCLE/output/Protein_09/f05450_Prot_09_F10.mzML,9008391,9094964,40495,4277378
/home/chong/Downloads/CCLE/output/Protein_09/f05451_Prot_09_F11.mzML,9094971,9183501,41640,4319018
/home/chong/Downloads/CCLE/output/Protein_09/f05452_Prot_09_F12.mzML,9183507,9270899,40980,4359998
/home/chong/Downloads/CCLE/output/Protein_10/f06178_Prot_10_F01.mzML,9270928,9360455,42167,4402165
/home/chong/Downloads/CCLE/output/Protein_10/f06179_Prot_10_F02.mzML,9360592,9449809,41814,4443979
/home/chong/Downloads/CCLE/output/Protein_10/f06180_Prot_10_F03.mzML,9449825,9539648,42179,4486158
/home/chong/Downloads/CCLE/output/Protein_10/f06181_Prot_10_F04.mzML,9539659,9629324,42099,4528257
/home/chong/Downloads/CCLE/output/Protein_10/f06182_Prot_10_F05.mzML,9629360,9719563,42507,4570764
/home/chong/Downloads/CCLE/output/Protein_10/f06183_Prot_10_F06.mzML,9719583,9808811,41888,4612652
/home/chong/Downloads/CCLE/output/Protein_10/f06184_Prot_10_F07.mzML,9808824,9898497,42081,4654733
/home/chong/Downloads/CCLE/output/Protein_10/f06185_Prot_10_F08.mzML,9898514,9989155,42533,4697266
/home/chong/Downloads/CCLE/output/Protein_10/f06186_Prot_10_F09.mzML,9989215,10077874,41500,4738766
/home/chong/Downloads/CCLE/output/Protein_10/f06187_Prot_10_F10.mzML,10077935,10168632,42607,4781373
/home/chong/Downloads/CCLE/output/Protein_10/f06188_Prot_10_F11.mzML,10168674,10258152,41955,4823328
/home/chong/Downloads/CCLE/output/Protein_10/f06189_Prot_10_F12.mzML,10258177,10348610,42247,4865575
/home/chong/Downloads/CCLE/output/Protein_11/f06191_Prot_11_F01.mzML,10348618,10436669,41198,4906773
/home/chong/Downloads/CCLE/output/Protein_11/f06192_Prot_11_F02.mzML,10436674,10526031,42073,4948846
/home/chong/Downloads/CCLE/output/Protein_11/f06193_Prot_11_F03.mzML,10526111,10614306,41386,4990232
/home/chong/Downloads/CCLE/output/Protein_11/f06194_Prot_11_F04.mzML,10614310,10702162,41308,5031540
/home/chong/Downloads/CCLE/output/Protein_11/f06195_Prot_11_F05.mzML,10702168,10789945,41213,5072753
/home/chong/Downloads/CCLE/output/Protein_11/f06196_Prot_11_F06.mzML,10789952,10879748,42283,5115036
/home/chong/Downloads/CCLE/output/Protein_11/f06197_Prot_11_F07.mzML,10879770,10969248,42016,5157052
/home/chong/Downloads/CCLE/output/Protein_11/f06198_Prot_11_F08.mzML,10969257,11058482,41977,5199029
/home/chong/Downloads/CCLE/output/Protein_11/f06199_Prot_11_F09.mzML,11058486,11147805,42027,5241056
/home/chong/Downloads/CCLE/output/Protein_11/f06200_Prot_11_F10.mzML,11147824,11236254,41443,5282499
/home/chong/Downloads/CCLE/output/Protein_11/f06201_Prot_11_F11.mzML,11236260,11325915,42286,5324785
/home/chong/Downloads/CCLE/output/Protein_11/f06202_Prot_11_F12.mzML,11325927,11414459,41381,5366166
/home/chong/Downloads/CCLE/output/Protein_12/d00615_Prot_12_01.mzML,11414464,11501524,39764,5405930
/home/chong/Downloads/CCLE/output/Protein_12/d00616_Prot_12_02.mzML,11501528,11589909,40578,5446508
/home/chong/Downloads/CCLE/output/Protein_12/d00617_Prot_12_03.mzML,11589913,11682236,42382,5488890
/home/chong/Downloads/CCLE/output/Protein_12/d00618_Prot_12_04.mzML,11682241,11772058,40414,5529304
/home/chong/Downloads/CCLE/output/Protein_12/d00619_Prot_12_05.mzML,11772063,11864201,42306,5571610
/home/chong/Downloads/CCLE/output/Protein_12/d00620_Prot_12_06.mzML,11864206,11953905,41092,5612702
/home/chong/Downloads/CCLE/output/Protein_12/d00621_Prot_12_07.mzML,11953910,12043560,40668,5653370
/home/chong/Downloads/CCLE/output/Protein_12/d00622_Prot_12_08.mzML,12043565,12136393,43139,5696509
/home/chong/Downloads/CCLE/output/Protein_12/d00623_Prot_12_09.mzML,12136397,12223413,39925,5736434
/home/chong/Downloads/CCLE/output/Protein_12/d00624_Prot_12_10.mzML,12223417,12316090,42696,5779130
/home/chong/Downloads/CCLE/output/Protein_12/d00625_Prot_12_11.mzML,12316094,12404170,39993,5819123
/home/chong/Downloads/CCLE/output/Protein_12/d00626_Prot_12_12.mzML,12404175,12496745,42676,5861799
/home/chong/Downloads/CCLE/output/Protein_13/d00630_Prot_13_01.mzML,12496750,12576392,36964,5898763
/home/chong/Downloads/CCLE/output/Protein_13/d00631_Prot_13_02.mzML,12576396,12663688,39480,5938243
/home/chong/Downloads/CCLE/output/Protein_13/d00632_Prot_13_03.mzML,12663693,12753589,40779,5979022
/home/chong/Downloads/CCLE/output/Protein_13/d00633_Prot_13_04.mzML,12753593,12839900,38708,6017730
/home/chong/Downloads/CCLE/output/Protein_13/d00634_Prot_13_05.mzML,12839904,12929373,40935,6058665
/home/chong/Downloads/CCLE/output/Protein_13/d00635_Prot_13_06.mzML,12929378,13015235,38567,6097232
/home/chong/Downloads/CCLE/output/Protein_13/d00636_Prot_13_07.mzML,13015240,13105676,40412,6137644
/home/chong/Downloads/CCLE/output/Protein_13/d00637_Prot_13_08.mzML,13105680,13201227,44062,6181706
/home/chong/Downloads/CCLE/output/Protein_13/d00638_Prot_13_09.mzML,13201232,13291422,40734,6222440
/home/chong/Downloads/CCLE/output/Protein_13/d00639_Prot_13_10.mzML,13291427,13383572,41909,6264349
/home/chong/Downloads/CCLE/output/Protein_13/d00640_Prot_13_11.mzML,13383576,13471060,39311,6303660
/home/chong/Downloads/CCLE/output/Protein_13/d00641_Prot_13_12.mzML,13471065,13560699,41123,6344783
/home/chong/Downloads/CCLE/output/Protein_14/d00724_Prot_14_01.mzML,13560703,13642535,37213,6381996
/home/chong/Downloads/CCLE/output/Protein_14/d00725_Prot_14_02.mzML,13642540,13723065,37420,6419416
/home/chong/Downloads/CCLE/output/Protein_14/d00726_Prot_14_03.mzML,13723069,13806027,38384,6457800
/home/chong/Downloads/CCLE/output/Protein_14/d00727_Prot_14_04.mzML,13806031,13883739,35778,6493578
/home/chong/Downloads/CCLE/output/Protein_14/d00728_Prot_14_05.mzML,13883748,13963561,36951,6530529
/home/chong/Downloads/CCLE/output/Protein_14/d00729_Prot_14_06.mzML,13963565,14042780,36533,6567062
/home/chong/Downloads/CCLE/output/Protein_14/d00730_Prot_14_07.mzML,14042787,14125036,38078,6605140
/home/chong/Downloads/CCLE/output/Protein_14/d00731_Prot_14_08.mzML,14125041,14212621,40895,6646035
/home/chong/Downloads/CCLE/output/Protein_14/d00786_Prot_14_09_2.mzML,14212625,14294321,37025,6683060
/home/chong/Downloads/CCLE/output/Protein_14/d00787_Prot_14_10_2.mzML,14294325,14376436,37551,6720611
/home/chong/Downloads/CCLE/output/Protein_14/d00788_Prot_14_11_2.mzML,14376441,14456074,36101,6756712
/home/chong/Downloads/CCLE/output/Protein_14/d00789_Prot_14_12_2.mzML,14456079,14537698,37509,6794221
/home/chong/Downloads/CCLE/output/Protein_15/d00780_Prot_15_10.mzML,14537703,14639898,46231,6840452
/home/chong/Downloads/CCLE/output/Protein_15/d00781_Prot_15_11.mzML,14639903,14738565,44656,6885108
/home/chong/Downloads/CCLE/output/Protein_15/d00782_Prot_15_12.mzML,14738571,14838520,45338,6930446
/home/chong/Downloads/CCLE/output/Protein_15/d00787_Prot_15_09_2.mzML,14838524,14934454,42948,6973394
/home/chong/Downloads/CCLE/output/Protein_15/d00788_Prot_15_08_2.mzML,14934458,15027148,42754,7016148
/home/chong/Downloads/CCLE/output/Protein_15/d00789_Prot_15_07_2.mzML,15027152,15116234,40319,7056467
/home/chong/Downloads/CCLE/output/Protein_15/d00790_Prot_15_06_2.mzML,15116238,15203371,39605,7096072
/home/chong/Downloads/CCLE/output/Protein_15/d00791_Prot_15_05_2.mzML,15203376,15268759,30281,7126353
/home/chong/Downloads/CCLE/output/Protein_15/d00792_Prot_15_04_2.mzML,15268764,15356041,39189,7165542
/home/chong/Downloads/CCLE/output/Protein_15/d00793_Prot_15_03_2.mzML,15356046,15443629,39574,7205116
/home/chong/Downloads/CCLE/output/Protein_15/d00794_Prot_15_02_2.mzML,15443634,15530637,39376,7244492
/home/chong/Downloads/CCLE/output/Protein_15/d00795_Prot_15_01_2.mzML,15530642,15621084,41108,7285600
/home/chong/Downloads/CCLE/output/Protein_16/d00963_Prot_16_02.mzML,15621088,15708784,38992,7324592
/home/chong/Downloads/CCLE/output/Protein_16/d00964_Prot_16_03.mzML,15708797,15796638,38417,7363009
