,bucket,size,time_dist
688,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_988.pkl,627,0.04909396171569824
689,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_989.pkl,245,0.011197805404663086
690,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_990.pkl,1179,0.5282077789306641
691,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_991.pkl,1740,0.5320942401885986
692,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_992.pkl,469,0.030396699905395508
693,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_993.pkl,1231,0.3549807071685791
694,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_994.pkl,1684,0.43495845794677734
695,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_995.pkl,262,0.01227879524230957
696,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_996.pkl,573,0.04239988327026367
697,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_997.pkl,344,0.018352985382080078
698,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_998.pkl,506,0.03379511833190918
699,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_999.pkl,541,0.03782987594604492
700,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1000.pkl,351,0.018803834915161133
701,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1001.pkl,659,0.053072452545166016
702,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1002.pkl,559,0.04903888702392578
703,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1003.pkl,503,0.03358030319213867
704,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1004.pkl,628,0.04824972152709961
705,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1005.pkl,555,0.03923177719116211
706,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1006.pkl,341,0.018584728240966797
707,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1007.pkl,184,0.007715702056884766
708,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1008.pkl,317,0.0164031982421875
709,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1009.pkl,236,0.010596275329589844
710,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1010.pkl,202,0.008474588394165039
711,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1011.pkl,194,0.007971763610839844
712,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1012.pkl,216,0.011115074157714844
713,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1013.pkl,199,0.010007381439208984
714,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1014.pkl,280,0.016036033630371094
715,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1015.pkl,125,0.004489898681640625
716,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1016.pkl,411,0.02422785758972168
717,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1017.pkl,191,0.00776982307434082
718,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1018.pkl,210,0.008908510208129883
719,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1019.pkl,283,0.013947486877441406
720,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1020.pkl,343,0.018480300903320312
721,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1021.pkl,211,0.009316444396972656
722,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1022.pkl,125,0.004360198974609375
723,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1023.pkl,251,0.011776924133300781
724,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1024.pkl,283,0.013903141021728516
725,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1025.pkl,206,0.008752822875976562
726,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1026.pkl,296,0.014682292938232422
727,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1027.pkl,194,0.008121252059936523
728,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1028.pkl,155,0.005956411361694336
729,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1029.pkl,229,0.010165214538574219
730,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1030.pkl,306,0.01573657989501953
731,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1031.pkl,195,0.008258581161499023
732,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1032.pkl,293,0.014538288116455078
733,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1033.pkl,137,0.005666494369506836
734,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1034.pkl,386,0.02224588394165039
735,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1035.pkl,252,0.011591434478759766
736,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1036.pkl,214,0.009206771850585938
737,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1037.pkl,191,0.00936126708984375
738,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1038.pkl,270,0.01276707649230957
739,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1039.pkl,145,0.005433320999145508
740,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1040.pkl,259,0.012189865112304688
741,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1041.pkl,363,0.019753694534301758
742,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1042.pkl,175,0.007017612457275391
743,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1043.pkl,239,0.010764360427856445
744,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1044.pkl,341,0.01799297332763672
745,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1045.pkl,192,0.00810861587524414
746,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1046.pkl,641,0.05218005180358887
747,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1047.pkl,285,0.01405024528503418
748,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1048.pkl,162,0.006314754486083984
749,/media/maesk/WD/falcon/PXD000561_computeTime/spectra/5_1049.pkl,369,0.020750999450683594
